temperature,humidity,co2
22.63,51.14,820
22.17,50.03,861
22.3,51.37,920
22.76,52.3,989
23.51,53.25,1104
23.8,52.03,1178
23.91,50.86,1244
23.95,51.7,1325
23.91,49.62,1355
24.0,50.72,1430
23.84,48.26,1449
23.83,49.73,1565
23.9,48.37,1554
24.14,50.46,1379
24.02,48.66,1169
23.67,48.17,1041
23.63,49.51,1060
23.5,49.92,1023
23.82,51.98,1015
23.79,49.43,1025
23.76,51.02,1094
23.67,49.2,1108
23.66,50.88,1179
23.64,48.84,1187
23.76,50.63,1205
23.68,48.85,1242
23.74,50.16,1330
23.66,48.76,1304
23.8,50.02,1358
23.69,48.32,1363
23.88,51.31,1450
24.19,50.64,1447
23.82,48.86,1278
23.79,51.66,1238
23.83,51.18,1109
23.15,50.1,1018
22.86,51.19,1022
23.15,53.08,934
23.33,53.16,843
23.52,54.63,876
24.06,54.66,953
24.07,52.02,1006
24.12,52.75,1104
24.08,52.45,1152
24.11,51.15,1213
24.16,52.2,1298
24.12,51.44,1346
24.19,51.47,1343
24.39,53.18,934
24.39,51.35,828
24.58,53.22,631
24.39,51.85,577
24.39,52.11,548
24.53,51.75,559
24.66,51.61,568
24.75,51.87,554
24.82,51.81,549
24.87,51.7,564
24.9,52.0,545
24.92,52.17,564
24.95,52.22,558
24.97,52.35,543
25.01,52.61,531
25.16,53.71,558
24.98,52.77,570
24.15,51.66,691
23.57,50.97,777
23.25,50.05,873
23.02,49.33,976
22.86,48.64,1073
22.71,47.98,1166
22.56,47.69,1228
22.48,47.61,1288
22.44,47.71,1419
22.36,46.78,1431
22.28,46.83,1473
22.21,47.1,1547
22.19,46.53,1604
22.16,46.23,1635
22.08,46.13,1669
22.07,46.02,1710
22.02,45.93,1776
21.99,46.28,1802
22.16,49.4,1646
22.33,48.18,1559
22.15,47.04,1496
22.64,48.2,1497
23.49,49.18,1587
24.18,50.74,1689
24.67,51.61,1679
24.99,52.16,1757
25.22,52.84,1840
25.4,53.15,1902
25.55,53.86,1884
25.68,54.82,1947
25.78,54.74,2005
25.58,53.5,2084
24.9,51.56,2124
24.32,49.72,2123
23.9,48.54,2120
23.62,47.39,2150
23.73,47.8,2015
24.07,48.88,1836
24.32,48.9,1781
24.47,48.97,1744
24.57,49.26,1711
24.63,49.51,1657
24.68,49.69,1640
24.72,49.93,1590
24.76,50.19,1545
24.78,50.46,1534
24.81,50.71,1477
24.82,51.07,1439
24.83,51.5,1403
24.84,51.89,1338
24.85,52.17,1301
24.86,52.36,1273
24.87,52.53,1286
24.87,52.73,1233
24.88,52.95,1207
24.88,53.11,1188
24.89,53.35,1172
24.89,53.52,1146
24.9,53.59,1129
24.91,53.79,1085
24.91,53.9,1100
24.91,54.09,1054
24.92,54.29,1048
24.91,54.44,1013
24.91,54.49,1014
24.93,54.57,989
24.94,54.62,978
24.94,54.7,967
24.95,54.75,964
24.95,54.79,951
24.96,54.89,940
24.96,54.96,921
24.97,55.02,936
24.97,55.1,915
24.97,55.16,912
24.97,55.17,912
24.97,55.28,883
24.98,55.31,889
24.98,55.32,882
24.98,55.41,854
24.98,55.54,842
24.98,55.6,850
24.99,55.72,845
24.99,55.71,832
24.99,55.84,819
25.0,55.88,828
24.99,55.9,805
25.0,56.01,820
25.0,56.08,797
24.99,56.14,793
24.99,56.25,777
24.98,56.26,779
24.98,56.29,762
24.99,56.37,779
24.99,56.39,755
24.98,56.38,761
24.98,56.48,743
24.98,56.5,734
24.98,56.48,740
24.98,56.54,726
24.98,56.59,732
24.98,56.6,726
24.98,56.57,729
24.99,56.67,713
24.99,56.69,712
24.99,56.75,709
24.98,56.81,697
24.98,56.88,690
24.98,56.97,706
24.98,56.99,684
24.98,56.99,691
24.98,57.08,678
24.98,57.08,677
24.98,57.14,673
24.98,57.24,659
24.97,57.35,662
24.96,57.43,655
24.95,57.46,640
24.94,57.5,642
24.94,57.52,656
24.94,57.55,644
24.93,57.58,629
24.92,57.6,629
24.92,57.59,627
24.92,57.59,639
24.92,57.6,628
24.92,57.6,636
24.92,57.6,636
24.92,57.63,628
24.92,57.62,624
24.93,57.65,622
24.93,57.67,623
24.93,57.75,612
24.93,57.82,616
24.91,57.86,604
24.91,57.9,604
24.91,57.91,602
24.9,57.95,599
24.9,57.96,600
24.89,57.95,596
24.89,57.97,604
24.89,57.99,592
24.91,57.99,592
24.91,58.1,596
24.91,58.15,576
24.92,58.19,578
24.9,58.35,587
24.9,58.44,578
24.89,58.51,564
24.88,58.61,577
24.88,58.65,563
24.88,58.67,568
24.89,58.64,574
24.89,58.72,567
24.89,58.73,569
24.89,58.76,566
24.87,59.33,563
24.49,56.46,441
23.91,55.12,436
23.85,57.89,436
24.09,58.78,463
24.15,56.69,517
23.92,54.66,544
24.08,57.14,604
24.28,57.35,672
23.97,54.4,710
23.91,55.95,782
24.25,56.73,854
24.15,53.9,895
23.81,53.07,945
24.09,55.49,983
24.31,54.52,1027
24.0,51.76,1113
23.74,52.14,1179
23.89,54.06,1224
23.89,51.86,1464
24.0,51.64,1506
23.92,49.48,1705
23.99,50.21,1751
24.09,49.36,1828
24.0,48.32,1904
24.11,49.11,1963
24.14,48.07,2057
24.04,47.25,2106
24.13,48.06,2120
24.08,46.95,2171
23.98,47.86,2206
24.07,47.54,2220
23.95,46.32,2263
23.95,47.17,2285
24.09,48.01,2076
24.25,48.91,1573
24.09,49.09,1749
24.28,50.49,1839
24.2,49.26,1956
24.04,49.39,2105
24.28,50.01,2215
24.27,48.61,2322
24.22,48.95,2385
24.44,48.82,2459
24.35,47.55,2560
24.42,48.54,2531
24.53,47.94,2688
24.37,47.35,2736
